y,sigma_R,H/D,Ei/Ed
2.459,0.231,0.463,2
2.335,0.221,0.442,2
2.212,0.211,0.423,2
2.089,0.200,0.399,2
1.966,0.188,0.376,2
1.843,0.177,0.353,2
1.721,0.163,0.327,2
1.598,0.152,0.304,2
1.474,0.141,0.282,2
1.351,0.130,0.261,2
1.228,0.119,0.238,2
1.105,0.107,0.215,2
0.982,0.096,0.191,2
0.859,0.085,0.169,2
0.736,0.074,0.147,2
0.613,0.063,0.125,2
0.490,0.052,0.103,2
0.366,0.040,0.081,2
0.244,0.028,0.057,2
0.122,0.015,0.030,2
0.000,0.000,0.000,2
2.458,0.365,0.730,3
2.341,0.347,0.693,3
2.224,0.328,0.657,3
2.107,0.311,0.622,3
1.990,0.293,0.585,3
1.873,0.275,0.550,3
1.755,0.258,0.517,3
1.637,0.241,0.482,3
1.520,0.224,0.448,3
1.402,0.207,0.413,3
1.285,0.188,0.377,3
1.168,0.171,0.341,3
1.050,0.154,0.308,3
0.932,0.138,0.275,3
0.814,0.122,0.244,3
0.697,0.105,0.210,3
0.579,0.088,0.176,3
0.461,0.071,0.143,3
0.343,0.055,0.110,3
0.225,0.039,0.078,3
0.106,0.024,0.047,3
2.459,0.439,0.878,4
2.351,0.420,0.841,4
2.243,0.402,0.804,4
2.135,0.384,0.767,4
2.027,0.364,0.728,4
1.920,0.345,0.689,4
1.812,0.326,0.651,4
1.705,0.306,0.612,4
1.597,0.287,0.575,4
1.489,0.269,0.538,4
1.381,0.250,0.500,4
1.273,0.230,0.461,4
1.166,0.211,0.422,4
1.059,0.192,0.383,4
0.951,0.172,0.344,4
0.843,0.153,0.306,4
0.736,0.133,0.266,4
0.629,0.113,0.227,4
0.521,0.095,0.189,4
0.412,0.077,0.154,4
0.303,0.060,0.121,4
2.460,0.504,1.008,5
2.354,0.482,0.965,5
2.249,0.461,0.922,5
2.143,0.440,0.880,5
2.038,0.419,0.837,5
1.933,0.397,0.793,5
1.827,0.375,0.750,5
1.721,0.354,0.709,5
1.616,0.333,0.666,5
1.510,0.312,0.624,5
1.405,0.291,0.581,5
1.299,0.269,0.538,5
1.194,0.248,0.495,5
1.089,0.226,0.452,5
0.983,0.204,0.408,5
0.878,0.183,0.365,5
0.772,0.161,0.323,5
0.667,0.140,0.280,5
0.562,0.118,0.237,5
0.456,0.097,0.194,5
0.351,0.075,0.150,5
2.459,0.553,1.106,6
2.353,0.530,1.060,6
2.247,0.507,1.015,6
2.141,0.484,0.969,6
2.035,0.461,0.923,6
1.929,0.439,0.877,6
1.824,0.415,0.830,6
1.719,0.391,0.782,6
1.613,0.368,0.735,6
1.508,0.344,0.687,6
1.403,0.320,0.639,6
1.298,0.295,0.591,6
1.193,0.272,0.543,6
1.087,0.248,0.497,6
0.982,0.225,0.451,6
0.876,0.202,0.404,6
0.771,0.179,0.357,6
0.666,0.154,0.308,6
0.560,0.131,0.261,6
0.455,0.107,0.213,6
0.350,0.083,0.166,6
2.458,0.593,1.186,7
2.352,0.568,1.136,7
2.246,0.543,1.086,7
2.141,0.518,1.036,7
2.035,0.493,0.985,7
1.930,0.467,0.934,7
1.825,0.442,0.883,7
1.719,0.417,0.834,7
1.612,0.392,0.785,7
1.507,0.367,0.734,7
1.402,0.341,0.682,7
1.297,0.315,0.630,7
1.191,0.291,0.582,7
1.084,0.266,0.533,7
0.979,0.241,0.482,7
0.874,0.215,0.431,7
0.769,0.190,0.380,7
0.663,0.164,0.328,7
0.558,0.139,0.277,7
0.454,0.112,0.225,7
0.349,0.087,0.173,7
2.459,0.631,1.262,8
2.354,0.604,1.208,8
2.248,0.577,1.154,8
2.143,0.550,1.100,8
2.037,0.523,1.046,8
1.932,0.496,0.992,8
1.826,0.469,0.939,8
1.720,0.443,0.885,8
1.615,0.416,0.831,8
1.509,0.389,0.778,8
1.404,0.362,0.724,8
1.298,0.335,0.670,8
1.193,0.308,0.617,8
1.087,0.282,0.563,8
0.981,0.255,0.509,8
0.876,0.228,0.456,8
0.770,0.201,0.403,8
0.665,0.174,0.348,8
0.561,0.146,0.292,8
0.456,0.119,0.237,8
0.350,0.091,0.183,8
2.457,0.667,1.333,9
2.352,0.638,1.276,9
2.247,0.609,1.218,9
2.141,0.581,1.162,9
2.035,0.553,1.106,9
1.929,0.525,1.050,9
1.824,0.497,0.994,9
1.718,0.469,0.938,9
1.612,0.441,0.881,9
1.507,0.412,0.824,9
1.402,0.383,0.766,9
1.297,0.354,0.709,9
1.192,0.325,0.651,9
1.087,0.297,0.593,9
0.981,0.268,0.537,9
0.876,0.240,0.480,9
0.771,0.211,0.423,9
0.666,0.182,0.364,9
0.562,0.153,0.305,9
0.457,0.124,0.247,9
0.350,0.096,0.193,9
2.457,0.701,1.401,10
2.351,0.671,1.342,10
2.245,0.642,1.283,10
2.139,0.612,1.224,10
2.034,0.583,1.165,10
1.928,0.553,1.106,10
1.822,0.523,1.046,10
1.717,0.493,0.986,10
1.612,0.463,0.926,10
1.507,0.432,0.865,10
1.402,0.402,0.804,10
1.297,0.372,0.744,10
1.192,0.342,0.683,10
1.087,0.312,0.623,10
0.981,0.282,0.564,10
0.874,0.253,0.506,10
0.769,0.223,0.447,10
0.665,0.192,0.384,10
0.562,0.160,0.319,10
0.457,0.130,0.259,10
0.350,0.101,0.202,10
2.455,0.741,1.483,11
2.350,0.709,1.419,11
2.244,0.678,1.355,11
2.139,0.646,1.292,11
2.034,0.614,1.228,11
1.929,0.582,1.164,11
1.824,0.550,1.101,11
1.719,0.519,1.037,11
1.613,0.487,0.975,11
1.507,0.456,0.913,11
1.402,0.425,0.850,11
1.297,0.393,0.786,11
1.192,0.361,0.721,11
1.088,0.329,0.657,11
0.982,0.297,0.595,11
0.877,0.266,0.532,11
0.772,0.234,0.467,11
0.668,0.201,0.402,11
0.564,0.168,0.337,11
0.459,0.137,0.273,11
0.350,0.108,0.215,11
2.460,0.771,1.543,12
2.354,0.739,1.477,12
2.248,0.706,1.412,12
2.143,0.673,1.346,12
2.037,0.640,1.281,12
1.931,0.607,1.215,12
1.826,0.574,1.149,12
1.722,0.541,1.081,12
1.617,0.507,1.014,12
1.511,0.474,0.949,12
1.405,0.442,0.884,12
1.300,0.409,0.818,12
1.195,0.376,0.751,12
1.089,0.343,0.685,12
0.984,0.310,0.620,12
0.879,0.277,0.554,12
0.774,0.243,0.487,12
0.669,0.210,0.420,12
0.566,0.176,0.351,12
0.461,0.142,0.285,12
0.350,0.114,0.227,12
2.459,0.795,1.589,13
2.354,0.760,1.521,13
2.249,0.726,1.452,13
2.143,0.693,1.385,13
2.037,0.659,1.318,13
1.932,0.625,1.250,13
1.827,0.591,1.182,13
1.722,0.557,1.114,13
1.616,0.523,1.047,13
1.510,0.490,0.979,13
1.406,0.455,0.910,13
1.300,0.421,0.843,13
1.194,0.388,0.776,13
1.090,0.353,0.707,13
0.985,0.319,0.638,13
0.879,0.285,0.570,13
0.774,0.251,0.502,13
0.669,0.217,0.434,13
0.565,0.182,0.365,13
0.461,0.147,0.295,13
0.350,0.118,0.236,13
2.460,0.814,1.627,14
2.354,0.779,1.558,14
2.249,0.744,1.489,14
2.144,0.710,1.419,14
2.038,0.675,1.350,14
1.932,0.641,1.281,14
1.826,0.607,1.214,14
1.720,0.572,1.144,14
1.615,0.537,1.074,14
1.510,0.502,1.004,14
1.406,0.467,0.933,14
1.302,0.431,0.862,14
1.197,0.396,0.792,14
1.092,0.361,0.722,14
